,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
66,sepolno krajenskie,53.27717485063849,17.419338411409512,63.23,48,75,18.34,PL,1562507734,3086153.0
67,turayf,32.633556371382895,39.43607289255726,98.6,13,0,9.17,SA,1562507734,101312.0
68,cidreira,-34.14712670622981,-46.40041641416357,50.94,67,96,5.7,BR,1562507734,3466165.0
69,cabo san lucas,7.911578304652991,-116.82504123473522,79.56,30,40,12.33,MX,1562507439,3985710.0
70,mataura,-38.85704575331544,-156.58230493217434,44.01,83,100,21,NZ,1562507734,6201424.0
71,puerto ayora,-6.3476011376355785,-110.40078081654617,72.28,78,20,5.82,EC,1562507630,3652764.0
72,kruisfontein,-64.97004691682835,27.2445074874164,54.18,74,15,17.78,ZA,1562507735,986717.0
73,havelock,33.532222550209354,-76.2122734242831,84.65,74,40,13.87,US,1562507735,4470244.0
74,san cristobal,2.278214524586815,-87.03212938240145,78.48,62,55,5.73,HN,1562507735,3609418.0
75,kaitangata,-85.71669671850758,178.29500711882264,44.01,69,100,17,NZ,1562507735,2208248.0
76,kodiak,41.85432432155156,-159.5538524764188,73.94,57,1,6.93,US,1562507735,4407665.0
77,oxelosund,58.18859131891793,17.620040213206096,65.23,52,40,12.75,SE,1562507736,2684653.0
78,skopelos,39.14085215177593,23.750704159617243,87.8,49,0,4.7,GR,1562507736,253581.0
79,port alfred,-43.195883926184116,29.37167175946999,62.01,69,17,8.01,ZA,1562507736,964432.0
80,srostki,52.66152760184312,85.66846160765027,65.34,89,100,6.13,RU,1562507736,1491088.0
81,ribeira grande,44.682901844691884,-33.60253328892614,71.6,94,75,11.41,PT,1562507737,3372707.0
82,waw,7.812640975232284,27.09562654801792,,,,,,,
83,naze,21.756645088537013,139.05791914582255,75.24,94,100,6.44,NG,1562507737,2337542.0
84,bathsheba,17.21843733357285,-54.818649803585785,84.2,74,75,19.46,BB,1562507737,3374083.0
85,vestmannaeyjar,57.47489127623808,-19.730523520825926,53.6,87,20,14.99,IS,1562507737,3412093.0
86,dikson,82.54279711462414,74.76021179349331,34.92,89,2,14.58,RU,1562507738,1507390.0
87,hermanus,-84.96791587478047,8.628420459446062,62.1,77,100,5.01,ZA,1562507738,3366880.0
88,ushuaia,-75.48301100867567,-31.245103572275326,37.4,84,0,8.05,AR,1562507452,3833367.0
89,aklavik,71.57160223326687,-140.908686350707,44.6,81,75,4.7,CA,1562507738,5882953.0
90,taolanaro,-41.51568725843515,51.01779705958498,,,,,,,
91,fortuna,39.71990295039609,-128.64647956063519,55.06,93,90,6.93,US,1562507739,5563839.0
92,hobart,-52.90730292521358,151.58728363823207,39.7,93,58,4.7,AU,1562507739,2163355.0
93,ponta do sol,27.06389460437461,-31.168729261269135,63.18,35,0,4.7,BR,1562507739,3453439.0
94,faanui,-9.996029026274087,-157.53337514043153,78.66,82,0,17.16,PF,1562507739,4034551.0
95,kodinsk,57.90338943338813,99.15491123731158,63.18,76,0,3.96,RU,1562507740,1503037.0
96,college,70.72238718079453,-148.76219421171194,59.63,76,1,3.51,US,1562507740,5859699.0
97,alofi,-22.894075884044838,-166.21943605634485,73.4,78,100,9.17,NU,1562507740,4036284.0
98,saldanha,-33.50574917647627,14.966401166978045,83.52,25,100,6.93,PT,1562507740,2737599.0
99,ruian,27.651128840115845,120.74769517042989,,,,,,,
100,codrington,23.543091769270546,-47.291117449586665,58.39,93,90,3.51,AU,1562507741,2160063.0
101,benemerito de las americas,16.656912795998508,-90.47315903802652,81.0,67,5,2.95,MX,1562507741,3816362.0
102,atasu,48.64305565566539,71.59870864181102,72.36,29,0,11.23,KZ,1562507741,1526041.0
103,new norfolk,-78.57930245610412,130.04075617598585,39.7,93,58,4.7,AU,1562507741,2155415.0
104,necochea,-51.20713407092322,-53.710634787040846,46.0,76,100,8.01,AR,1562507742,3430443.0
105,taltal,-26.474320797642783,-72.72655475613065,60.3,66,27,3.67,CL,1562507742,3870243.0
106,goya,-29.76016860234123,-58.94344875433667,50.22,52,100,8.5,AR,1562507742,3433715.0
107,rocha,-45.36142536570329,-45.27669263328934,48.6,51,0,3.33,UY,1562507742,3440777.0
108,vao,-25.620258784370975,170.70287130524684,59.94,70,71,8.86,EE,1562507742,588365.0
109,iqaluit,58.42344906903995,-73.82049151345937,53.31,76,75,3.36,CA,1562507743,5983720.0
110,saleaula,-2.9809158214778364,-170.5909304659544,,,,,,,
111,nyrob,61.00089147541058,56.34481726677967,66.96,66,83,0.18,RU,1562507743,516588.0
112,lazaro cardenas,0.9461056105676562,-111.54181278232412,68.5,79,99,1.99,MX,1562507744,3996234.0
113,comodoro rivadavia,-50.112466203167905,-63.083164085810466,42.8,81,0,2.24,AR,1562507744,3860443.0
114,longyearbyen,80.69318974072854,19.865201054595786,53.6,71,40,5.82,NO,1562507744,2729907.0
115,vaini,-45.42344932998541,-175.77943589531398,79.02,87,100,10.36,IN,1562507744,1273574.0
116,nadym,64.78873551666166,71.28608013262769,59.76,66,100,7.29,RU,1562507744,1498087.0
117,ahumada,29.662311684636663,-106.33708057302181,,,,,,,
118,hasaki,28.303431254623533,159.18617979043717,64.56,93,75,20.8,JP,1562507745,2112802.0
119,lasa,34.58953454196879,94.03372209375357,87.22,79,20,11.41,CY,1562507745,146639.0
120,butaritari,27.95242601176139,175.14751951739055,81.0,81,100,10.58,KI,1562507745,2110227.0
121,zhuanghe,39.797962828118045,122.60623912892709,64.62,90,50,4.43,CN,1562507745,1784055.0
122,geraldton,-29.539979149896013,116.52752196794921,60.8,72,75,3.36,CA,1562507746,5960603.0
123,zhigansk,71.82427967278676,121.83678619688419,58.32,60,100,6.2,RU,1562507746,2012530.0
124,avera,-23.210708166300137,-152.81370140451523,79.57,94,90,4.7,US,1562507746,4231997.0
125,caucaia,-1.7635537134168544,-37.52056660128744,81.19,65,75,12.75,BR,1562507746,3402429.0
126,sobolevo,55.84693013495476,153.63603320950017,60.12,91,100,7.05,RU,1562507746,525426.0
